001, Bora, arrival, 2024-11-03T09:12:45.418+01:00
002, Ficko, arrival, 2024-11-03T09:12:45.446+01:00
003, Bocko, arrival, 2024-11-03T09:12:45.448+01:00
001, Bora, departure, 2024-11-03T09:12:50.369+01:00
002, Ficko, departure, 2024-11-03T09:12:53.378+01:00
003, Bocko, departure, 2024-11-03T09:14:03.391+01:00
001, Bora, arrival, 2024-11-03T15:10:45.656+01:00
002, Ficko, arrival, 2024-11-03T15:10:45.685+01:00
003, Bocko, arrival, 2024-11-03T15:10:45.686+01:00
001, Bora, departure, 2024-11-03T15:10:50.606+01:00
002, Ficko, departure, 2024-11-03T15:10:53.619+01:00
003, Bocko, departure, 2024-11-03T15:12:03.621+01:00
001, Bora, arrival, 2024-11-03T15:13:59.431+01:00
002, Ficko, arrival, 2024-11-03T15:13:59.457+01:00
003, Bocko, arrival, 2024-11-03T15:13:59.459+01:00
001, Bora, departure, 2024-11-03T15:14:04.360+01:00
002, Ficko, departure, 2024-11-03T15:14:07.371+01:00
003, Bocko, departure, 2024-11-03T15:15:17.378+01:00
